Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Wednesday after Pentecost 9,24/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"James, Apostle [4] Red",25/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",26/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 9,27/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 10 [3] Green; SPB Trinity 9,28/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Martha and Mary of Bethany [6] White,29/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Silas, Companion of Saint Paul [6] White",30/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 10,01/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 10,02/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 10,03/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 11 [3] Green; SPB Trinity 10,04/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Oswald of Northumbria, Martyr, 642 [6] Red",05/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Boisil, Prior of Melrose, c.642 [6] White",07/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Dominic, Priest and Friar, 1221 [6] White",08/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
"John Mason Neale, Priest, 1886 [6] White",09/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 12 [3] Green; SPB Trinity 11,11/08/2013,,,,TRUE,FALSE,,Normal,Normal,3
